pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,BATCH_PIPELINE,op1,,1,const,,55
p1,,,op2,op1,80,squared,,10
p1,,,op3,op2,20,linear7,,30
p1,,,op4,op3,15,linear3,,37.5
p2,0.0,BATCH_PIPELINE,op1,,1,const,,55
p2,,,op2,op1,80,squared,,10
p2,,,op3,op2,80,squared,,10
p2,,,op4,op3,15,linear3,,37.5
p3,27.359,BATCH_PIPELINE,op1,,1,const,,55
p3,,,op2,op1,20,linear7,,30
p3,,,op3,op2,80,squared,,10
p3,,,op4,op3,5,linear3,,45
p3,,,op5,op4,20,linear7,,30
p3,,,op6,op5,40,linear7,,20
p4,27.359,BATCH_PIPELINE,op1,,1,const,,55
p4,,,op2,op1,20,linear7,,30
p4,,,op3,op2,80,squared,,10
p5,54.562,QUERY,op1,,15,linear3,,35
p6,54.562,BATCH_PIPELINE,op1,,1,const,,55
p6,,,op2,op1,20,linear7,,30
p6,,,op3,op2,80,squared,,10
p6,,,op4,op3,80,squared,,10
p6,,,op5,op4,5,linear3,,45
p6,,,op6,op5,40,linear7,,20
p7,75,BATCH_PIPELINE,op1,,1,const,,55
p7,,,op2,op1,80,squared,,10
p7,,,op3,op2,80,squared,,10
p7,,,op4,op3,20,linear7,,30
p7,,,op5,op4,15,linear3,,37.5
p7,,,op6,op5,80,squared,,10
p8,75,QUERY,op1,,15,linear3,,35
p9,75,INTERACTIVE,op1,,1,const,,55
p9,,,op2,op1,20,linear7,,30
p9,,,op3,op2,40,linear7,,20
p9,,,op4,op3,80,squared,,10
p9,,,op5,op4,80,squared,,10
p9,,,op6,op5,40,linear7,,20
p10,75,QUERY,op1,,15,linear3,,35
p11,75,BATCH_PIPELINE,op1,,1,const,,55
p11,,,op2,op1,40,linear7,,20
p11,,,op3,op2,80,squared,,10
p11,,,op4,op3,80,squared,,10
p11,,,op5,op4,80,squared,,10
p12,75,BATCH_PIPELINE,op1,,1,const,,55
p12,,,op2,op1,80,squared,,10
p12,,,op3,op2,15,linear3,,37.5
p12,,,op4,op3,40,linear7,,20
p13,75,BATCH_PIPELINE,op1,,1,const,,55
p13,,,op2,,40,linear7,,20
p13,,,op3,,80,squared,,10
p13,,,op4,,5,linear3,,45
p13,,,op5,,80,squared,,10
p13,,,op6,,80,squared,,10
p13,,,op7,,40,linear7,,20
p13,,,op8,op1;op2;op3;op4;op5;op6;op7,40,linear7,,20
p14,75,QUERY,op1,,15,linear3,,35
p15,75,INTERACTIVE,op1,,1,const,,55
p15,,,op2,op1,80,squared,,10
p15,,,op3,op2,80,squared,,10
p15,,,op4,op3,20,linear7,,30
p15,,,op5,op4,80,squared,,10
p16,75,BATCH_PIPELINE,op1,,1,const,,55
p16,,,op2,op1,40,linear7,,20
p16,,,op3,op2,80,squared,,10
p16,,,op4,op3,80,squared,,10
p17,75,BATCH_PIPELINE,op1,,1,const,,55
p17,,,op2,op1,80,squared,,10
p17,,,op3,op2,80,squared,,10
p17,,,op4,op3,80,squared,,10
p17,,,op5,op4,80,squared,,10
p18,75,INTERACTIVE,op1,,1,const,,55
p18,,,op2,op1,80,squared,,10
p18,,,op3,op2,80,squared,,10
p18,,,op4,op3,80,squared,,10
p19,75,INTERACTIVE,op1,,1,const,,55
p20,75,INTERACTIVE,op1,,1,const,,55
p20,,,op2,,80,squared,,10
p20,,,op3,,40,linear7,,20
p20,,,op4,,20,linear7,,30
p20,,,op5,,40,linear7,,20
p20,,,op6,,40,linear7,,20
p20,,,op7,op1;op2;op3;op4;op5;op6,80,squared,,10
p21,75,BATCH_PIPELINE,op1,,1,const,,55
p21,,,op2,op1,80,squared,,10
p22,75,INTERACTIVE,op1,,1,const,,55
p22,,,op2,,5,linear3,,45
p22,,,op3,,80,squared,,10
p22,,,op4,,80,squared,,10
p22,,,op5,op1;op2;op3;op4,20,linear7,,30
p23,75,QUERY,op1,,15,linear3,,35
p24,75,BATCH_PIPELINE,op1,,1,const,,55
p24,,,op2,op1,80,squared,,10
p24,,,op3,op2,15,linear3,,37.5
p24,,,op4,op3,80,squared,,10
p25,75,BATCH_PIPELINE,op1,,1,const,,55
p25,,,op2,op1,40,linear7,,20
p25,,,op3,op1,80,squared,,10
p25,,,op4,op1,2,sqrt,,55
p25,,,op5,op1,80,squared,,10
p26,75,BATCH_PIPELINE,op1,,1,const,,55
p26,,,op2,op1,80,squared,,10
p26,,,op3,op2,80,squared,,10
p26,,,op4,op3,40,linear7,,20
p27,75,BATCH_PIPELINE,op1,,1,const,,55
p27,,,op2,op1,80,squared,,10
p27,,,op3,op2,80,squared,,10
p27,,,op4,op3,20,linear7,,30
p27,,,op5,op4,80,squared,,10
p28,75,BATCH_PIPELINE,op1,,1,const,,55
p28,,,op2,op1,80,squared,,10
p28,,,op3,op2,80,squared,,10
p28,,,op4,op3,20,linear7,,30
p29,75,BATCH_PIPELINE,op1,,1,const,,55
p29,,,op2,op1,40,linear7,,20
p29,,,op3,op2,80,squared,,10
p30,75,INTERACTIVE,op1,,1,const,,55
p30,,,op2,op1,80,squared,,10
p30,,,op3,op2,80,squared,,10
p30,,,op4,op3,40,linear7,,20
p31,75,BATCH_PIPELINE,op1,,1,const,,55
p31,,,op2,op1,20,linear7,,30
p31,,,op3,op2,80,squared,,10
p31,,,op4,op3,80,squared,,10
p31,,,op5,op4,15,linear3,,37.5
p31,,,op6,op5,80,squared,,10
p32,75,BATCH_PIPELINE,op1,,1,const,,55
p32,,,op2,op1,5,linear3,,45
p32,,,op3,op2,40,linear7,,20
p32,,,op4,op3,20,linear7,,30
p33,75,BATCH_PIPELINE,op1,,1,const,,55
p33,,,op2,op1,20,linear7,,30
p33,,,op3,op2,20,linear7,,30
p34,75,BATCH_PIPELINE,op1,,1,const,,55
p34,,,op2,op1,20,linear7,,30
p34,,,op3,op2,80,squared,,10
p35,75,BATCH_PIPELINE,op1,,1,const,,55
p35,,,op2,op1,40,linear7,,20
p35,,,op3,op2,80,squared,,10
p35,,,op4,op3,40,linear7,,20
p36,75,BATCH_PIPELINE,op1,,1,const,,55
p36,,,op2,op1,80,squared,,10
p36,,,op3,op1,15,linear3,,37.5
p36,,,op4,op1,40,linear7,,20
p37,84.729,INTERACTIVE,op1,,1,const,,55
p37,,,op2,op1,20,linear7,,30
p37,,,op3,op2,40,linear7,,20
p37,,,op4,op3,15,linear3,,37.5
p37,,,op5,op4,80,squared,,10
p38,84.729,INTERACTIVE,op1,,1,const,,55
p39,121.775,BATCH_PIPELINE,op1,,1,const,,55
p39,,,op2,op1,20,linear7,,30
p39,,,op3,op2,80,squared,,10
p39,,,op4,op3,20,linear7,,30
p39,,,op5,op4,20,linear7,,30
p39,,,op6,op5,20,linear7,,30
p40,121.775,INTERACTIVE,op1,,1,const,,55
p40,,,op2,op1,40,linear7,,20
p40,,,op3,op2,40,linear7,,20
p40,,,op4,op3,20,linear7,,30
p40,,,op5,op4,80,squared,,10
p40,,,op6,op5,20,linear7,,30
p41,154.638,BATCH_PIPELINE,op1,,1,const,,55
p41,,,op2,op1,15,linear3,,37.5
p41,,,op3,op2,20,linear7,,30
p41,,,op4,op3,80,squared,,10
p42,154.638,INTERACTIVE,op1,,1,const,,55
p42,,,op2,op1,80,squared,,10
p42,,,op3,op2,40,linear7,,20
p43,201.395,BATCH_PIPELINE,op1,,1,const,,55
p43,,,op2,op1,40,linear7,,20
p43,,,op3,op2,40,linear7,,20
p43,,,op4,op3,80,squared,,10
p43,,,op5,op4,80,squared,,10
p44,201.395,BATCH_PIPELINE,op1,,1,const,,55
p44,,,op2,op1,40,linear7,,20
p44,,,op3,op2,80,squared,,10
p45,225,BATCH_PIPELINE,op1,,1,const,,55
p45,,,op2,,80,squared,,10
p45,,,op3,op1;op2,20,linear7,,30
p46,225,INTERACTIVE,op1,,1,const,,55
p46,,,op2,op1,20,linear7,,30
p46,,,op3,op2,80,squared,,10
p46,,,op4,op3,80,squared,,10
p46,,,op5,op4,80,squared,,10
p47,225,BATCH_PIPELINE,op1,,1,const,,55
p47,,,op2,op1,80,squared,,10
p47,,,op3,op1,40,linear7,,20
p48,225,BATCH_PIPELINE,op1,,1,const,,55
p48,,,op2,op1,80,squared,,10
p48,,,op3,op2,80,squared,,10
p48,,,op4,op3,80,squared,,10
p48,,,op5,op4,40,linear7,,20
p49,225,BATCH_PIPELINE,op1,,1,const,,55
p49,,,op2,op1,80,squared,,10
p49,,,op3,op2,15,linear3,,37.5
p49,,,op4,op3,80,squared,,10
p50,225,BATCH_PIPELINE,op1,,1,const,,55
p50,,,op2,op1,40,linear7,,20
p50,,,op3,op2,80,squared,,10
p50,,,op4,op3,20,linear7,,30
p51,225,BATCH_PIPELINE,op1,,1,const,,55
p51,,,op2,op1,40,linear7,,20
p51,,,op3,op1,80,squared,,10
p51,,,op4,op1,80,squared,,10
p51,,,op5,op1,80,squared,,10
p51,,,op6,op1,80,squared,,10
p51,,,op7,op1,80,squared,,10
p52,225,BATCH_PIPELINE,op1,,1,const,,55
p52,,,op2,op1,80,squared,,10
p52,,,op3,op2,20,linear7,,30
p52,,,op4,op3,80,squared,,10
p53,225,INTERACTIVE,op1,,1,const,,55
p53,,,op2,op1,20,linear7,,30
p54,225,INTERACTIVE,op1,,1,const,,55
p54,,,op2,op1,40,linear7,,20
p54,,,op3,op2,80,squared,,10
p54,,,op4,op3,80,squared,,10
p54,,,op5,op4,15,linear3,,37.5
p54,,,op6,op5,80,squared,,10
p55,225,BATCH_PIPELINE,op1,,1,const,,55
p55,,,op2,op1,80,squared,,10
p56,225,INTERACTIVE,op1,,1,const,,55
p56,,,op2,op1,15,linear3,,37.5
p56,,,op3,op2,5,linear3,,45
p56,,,op4,op3,20,linear7,,30
p56,,,op5,op4,40,linear7,,20
p56,,,op6,op5,80,squared,,10
p56,,,op7,op6,40,linear7,,20
p56,,,op8,op7,80,squared,,10
p57,225,BATCH_PIPELINE,op1,,1,const,,55
p57,,,op2,op1,80,squared,,10
p57,,,op3,op2,20,linear7,,30
p57,,,op4,op3,15,linear3,,37.5
p58,225,BATCH_PIPELINE,op1,,1,const,,55
p58,,,op2,op1,80,squared,,10
p58,,,op3,op2,20,linear7,,30
p58,,,op4,op3,20,linear7,,30
p58,,,op5,op4,80,squared,,10
p59,225,BATCH_PIPELINE,op1,,1,const,,55
p59,,,op2,op1,40,linear7,,20
p59,,,op3,op2,80,squared,,10
p59,,,op4,op3,20,linear7,,30
p59,,,op5,op4,1,const,,55
p60,225,BATCH_PIPELINE,op1,,1,const,,55
p60,,,op2,,80,squared,,10
p60,,,op3,op1;op2,15,linear3,,37.5
p61,225,BATCH_PIPELINE,op1,,1,const,,55
p61,,,op2,op1,80,squared,,10
p61,,,op3,op2,5,linear3,,45
p61,,,op4,op3,5,linear3,,45
p61,,,op5,op4,40,linear7,,20
p62,225,INTERACTIVE,op1,,1,const,,55
p62,,,op2,op1,80,squared,,10
p62,,,op3,op2,40,linear7,,20
p62,,,op4,op3,80,squared,,10
p62,,,op5,op4,80,squared,,10
p63,225,BATCH_PIPELINE,op1,,1,const,,55
p63,,,op2,op1,80,squared,,10
p63,,,op3,op2,40,linear7,,20
p63,,,op4,op3,20,linear7,,30
p63,,,op5,op4,80,squared,,10
p64,225,BATCH_PIPELINE,op1,,1,const,,55
p64,,,op2,op1,40,linear7,,20
p64,,,op3,op2,40,linear7,,20
p64,,,op4,op3,40,linear7,,20
p64,,,op5,op4,5,linear3,,45
p65,225,BATCH_PIPELINE,op1,,1,const,,55
p65,,,op2,op1,80,squared,,10
p65,,,op3,op2,80,squared,,10
p65,,,op4,op3,40,linear7,,20
p66,225,QUERY,op1,,15,linear3,,35
p67,225,BATCH_PIPELINE,op1,,1,const,,55
p67,,,op2,,15,linear3,,37.5
p67,,,op3,op1;op2,20,linear7,,30
p68,225,INTERACTIVE,op1,,1,const,,55
p68,,,op2,op1,5,linear3,,45
p68,,,op3,op2,80,squared,,10
p68,,,op4,op3,80,squared,,10
p69,225,BATCH_PIPELINE,op1,,1,const,,55
p69,,,op2,op1,80,squared,,10
p69,,,op3,op2,80,squared,,10
p69,,,op4,op3,80,squared,,10
p69,,,op5,op4,40,linear7,,20
p69,,,op6,op5,80,squared,,10
p69,,,op7,op6,80,squared,,10
p70,225,INTERACTIVE,op1,,1,const,,55
p70,,,op2,op1,80,squared,,10
p70,,,op3,op1,80,squared,,10
p71,225,BATCH_PIPELINE,op1,,1,const,,55
p71,,,op2,op1,5,linear3,,45
p71,,,op3,op2,80,squared,,10
p71,,,op4,op3,40,linear7,,20
p71,,,op5,op4,20,linear7,,30
p71,,,op6,op5,80,squared,,10
p72,225,INTERACTIVE,op1,,1,const,,55
p72,,,op2,op1,40,linear7,,20
p72,,,op3,op2,40,linear7,,20
p72,,,op4,op3,80,squared,,10
p72,,,op5,op4,40,linear7,,20
p72,,,op6,op5,80,squared,,10
p73,225,BATCH_PIPELINE,op1,,1,const,,55
p73,,,op2,op1,80,squared,,10
p73,,,op3,op2,80,squared,,10
p74,244.851,BATCH_PIPELINE,op1,,1,const,,55
p74,,,op2,op1,40,linear7,,20
p74,,,op3,op2,80,squared,,10
p74,,,op4,op3,80,squared,,10
p75,244.851,INTERACTIVE,op1,,1,const,,55
p75,,,op2,op1,20,linear7,,30
p75,,,op3,op1,40,linear7,,20
p75,,,op4,op1,20,linear7,,30
p76,263.093,QUERY,op1,,15,linear3,,35
p77,263.093,BATCH_PIPELINE,op1,,1,const,,55
p77,,,op2,,80,squared,,10
p77,,,op3,,15,linear3,,37.5
p77,,,op4,,80,squared,,10
p77,,,op5,,80,squared,,10
p77,,,op6,op1;op2;op3;op4;op5,80,squared,,10
p78,290.136,BATCH_PIPELINE,op1,,1,const,,55
p78,,,op2,op1,80,squared,,10
p78,,,op3,op1,80,squared,,10
p78,,,op4,op1,40,linear7,,20
p79,290.136,BATCH_PIPELINE,op1,,1,const,,55
p79,,,op2,op1,80,squared,,10
p79,,,op3,op2,80,squared,,10
p79,,,op4,op3,20,linear7,,30
p80,305.03700000000003,BATCH_PIPELINE,op1,,1,const,,55
p80,,,op2,op1,80,squared,,10
p80,,,op3,op2,80,squared,,10
p80,,,op4,op3,80,squared,,10
p81,305.03700000000003,QUERY,op1,,15,linear3,,35
p82,333.303,INTERACTIVE,op1,,1,const,,55
p82,,,op2,op1,80,squared,,10
p82,,,op3,op2,40,linear7,,20
p82,,,op4,op3,80,squared,,10
p82,,,op5,op4,80,squared,,10
p83,333.303,BATCH_PIPELINE,op1,,1,const,,55
p84,373.886,BATCH_PIPELINE,op1,,1,const,,55
p84,,,op2,op1,80,squared,,10
p84,,,op3,op2,80,squared,,10
p84,,,op4,op3,5,linear3,,45
p84,,,op5,op4,80,squared,,10
p85,373.886,BATCH_PIPELINE,op1,,1,const,,55
p85,,,op2,op1,80,squared,,10
p85,,,op3,op1,80,squared,,10
p85,,,op4,op1,40,linear7,,20
p85,,,op5,op1,80,squared,,10
p85,,,op6,op1,20,linear7,,30
p86,375,INTERACTIVE,op1,,1,const,,55
p86,,,op2,op1,20,linear7,,30
p86,,,op3,op2,20,linear7,,30
p87,375,QUERY,op1,,15,linear3,,35
p88,375,BATCH_PIPELINE,op1,,1,const,,55
p88,,,op2,op1,40,linear7,,20
p88,,,op3,op2,80,squared,,10
p88,,,op4,op3,15,linear3,,37.5
p89,375,BATCH_PIPELINE,op1,,1,const,,55
p89,,,op2,op1,80,squared,,10
p89,,,op3,op2,80,squared,,10
p89,,,op4,op3,80,squared,,10
p89,,,op5,op4,80,squared,,10
p90,375,INTERACTIVE,op1,,1,const,,55
p90,,,op2,op1,80,squared,,10
p90,,,op3,op2,80,squared,,10
p90,,,op4,op3,80,squared,,10
p91,375,BATCH_PIPELINE,op1,,1,const,,55
p91,,,op2,op1,20,linear7,,30
p91,,,op3,op2,20,linear7,,30
p92,375,BATCH_PIPELINE,op1,,1,const,,55
p92,,,op2,op1,20,linear7,,30
p92,,,op3,op2,20,linear7,,30
p92,,,op4,op3,2,sqrt,,55
p93,375,BATCH_PIPELINE,op1,,1,const,,55
p93,,,op2,op1,40,linear7,,20
p93,,,op3,op2,80,squared,,10
p93,,,op4,op3,80,squared,,10
p93,,,op5,op4,80,squared,,10
p93,,,op6,op5,40,linear7,,20
p94,375,BATCH_PIPELINE,op1,,1,const,,55
p94,,,op2,op1,80,squared,,10
p94,,,op3,op2,80,squared,,10
p94,,,op4,op3,5,linear3,,45
p94,,,op5,op4,80,squared,,10
p95,375,INTERACTIVE,op1,,1,const,,55
p95,,,op2,op1,80,squared,,10
p95,,,op3,op2,20,linear7,,30
p95,,,op4,op3,15,linear3,,37.5
p96,375,BATCH_PIPELINE,op1,,1,const,,55
p96,,,op2,op1,80,squared,,10
p96,,,op3,op2,5,linear3,,45
p96,,,op4,op3,2,sqrt,,55
p96,,,op5,op4,80,squared,,10
p97,375,QUERY,op1,,15,linear3,,35
p98,375,BATCH_PIPELINE,op1,,1,const,,55
p98,,,op2,,80,squared,,10
p98,,,op3,,15,linear3,,37.5
p98,,,op4,op1;op2;op3,80,squared,,10
p99,375,BATCH_PIPELINE,op1,,1,const,,55
p99,,,op2,op1,5,linear3,,45
p99,,,op3,op2,40,linear7,,20
p100,375,INTERACTIVE,op1,,1,const,,55
p100,,,op2,op1,80,squared,,10
p100,,,op3,op2,20,linear7,,30
p100,,,op4,op3,2,sqrt,,55
p100,,,op5,op4,40,linear7,,20
p100,,,op6,op5,20,linear7,,30
p101,375,BATCH_PIPELINE,op1,,1,const,,55
p101,,,op2,op1,80,squared,,10
p101,,,op3,op2,80,squared,,10
p102,375,BATCH_PIPELINE,op1,,1,const,,55
p102,,,op2,op1,80,squared,,10
p102,,,op3,op1,80,squared,,10
p103,375,BATCH_PIPELINE,op1,,1,const,,55
p103,,,op2,op1,80,squared,,10
p103,,,op3,op1,20,linear7,,30
p103,,,op4,op1,40,linear7,,20
p103,,,op5,op1,15,linear3,,37.5
p103,,,op6,op1,20,linear7,,30
p104,375,BATCH_PIPELINE,op1,,1,const,,55
p104,,,op2,op1,40,linear7,,20
p104,,,op3,op1,20,linear7,,30
p105,375,INTERACTIVE,op1,,1,const,,55
p105,,,op2,op1,80,squared,,10
p105,,,op3,op2,40,linear7,,20
p105,,,op4,op3,15,linear3,,37.5
p105,,,op5,op4,80,squared,,10
p105,,,op6,op5,80,squared,,10
p106,375,BATCH_PIPELINE,op1,,1,const,,55
p106,,,op2,op1,80,squared,,10
p106,,,op3,op2,15,linear3,,37.5
p106,,,op4,op3,20,linear7,,30
p106,,,op5,op4,80,squared,,10
p107,375,INTERACTIVE,op1,,1,const,,55
p107,,,op2,op1,40,linear7,,20
p107,,,op3,op1,80,squared,,10
p107,,,op4,op1,40,linear7,,20
p107,,,op5,op1,15,linear3,,37.5
p107,,,op6,op1,80,squared,,10
p108,375,BATCH_PIPELINE,op1,,1,const,,55
p108,,,op2,op1,40,linear7,,20
p108,,,op3,op2,80,squared,,10
p108,,,op4,op3,5,linear3,,45
p108,,,op5,op4,20,linear7,,30
p108,,,op6,op5,15,linear3,,37.5
p109,375,QUERY,op1,,15,linear3,,35
p110,375,INTERACTIVE,op1,,1,const,,55
p110,,,op2,op1,80,squared,,10
p110,,,op3,op2,80,squared,,10
p110,,,op4,op3,1,const,,55
p110,,,op5,op4,20,linear7,,30
p111,375,BATCH_PIPELINE,op1,,1,const,,55
p111,,,op2,,15,linear3,,37.5
p111,,,op3,,80,squared,,10
p111,,,op4,op1;op2;op3,40,linear7,,20
p112,375,BATCH_PIPELINE,op1,,1,const,,55
p112,,,op2,op1,80,squared,,10
p113,375,BATCH_PIPELINE,op1,,1,const,,55
p113,,,op2,op1,40,linear7,,20
p113,,,op3,op2,80,squared,,10
p113,,,op4,op3,40,linear7,,20
p113,,,op5,op4,80,squared,,10
p114,375,BATCH_PIPELINE,op1,,1,const,,55
p114,,,op2,,15,linear3,,37.5
p114,,,op3,,5,linear3,,45
p114,,,op4,,1,const,,55
p114,,,op5,,40,linear7,,20
p114,,,op6,op1;op2;op3;op4;op5,2,sqrt,,55
p115,375,BATCH_PIPELINE,op1,,1,const,,55
p115,,,op2,op1,1,const,,55
p115,,,op3,op2,80,squared,,10
p115,,,op4,op3,80,squared,,10
p115,,,op5,op4,80,squared,,10
p116,406.145,BATCH_PIPELINE,op1,,1,const,,55
p116,,,op2,op1,80,squared,,10
p116,,,op3,op2,40,linear7,,20
p117,406.145,INTERACTIVE,op1,,1,const,,55
